RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
3101,Los Angeles County,California,1,459000,448700,432300,419300,403300,388100,373100,359800,346500,334100,320600,312000,304400,299600,294800,298400,304100,312800,319200,323300,326200,330600,335200,335200,332600,329900,334600,332900,333300,327300,330600,328300,329500,328900,324800,324800,320600,324900,322400,318300,315500,311800,312600,306800,307200,306300,306800,307000,306500,311300,312000,315500,317800,323200,331000,338200,345900,353400,356900,360600,366700,381800,395400,406700,413400,419000,421300,422900,421800,422800,419000,421700,420500,426400,427700,427100,428700,429700,433000,434400,436100,440800,443600,448200,450900,455100,455300,457600,457000,460100,460400,460700,459400,469800,474600,479500,475400,482600,489500,492700,491700,491100,493300,490500,492700,490600,496500,491400,496000,496000,505500,508500,512300,515200,521200,529900,541000,549500,555500,559600,562300,563500,566500,570700,573800,577000,579800,587900,593900,594600,596100,595900,601700,605000,604300,602800,606400,608700,613100,611300,616500,625400,633000,639900,
139,Cook County,Illinois,2,278900,274500,253100,240200,233400,233300,237600,238200,230400,224100,215400,213900,210700,206500,196900,188300,187600,194000,197600,199300,200100,199000,200600,196000,193500,189200,187400,187700,179900,175700,167700,171600,173700,177000,175800,176600,169600,164200,154400,153300,154400,158900,162100,161700,156100,153100,150200,149700,150200,150600,151700,153600,155500,158700,158700,153800,153100,150700,154400,153200,153100,152400,156600,166500,176800,185400,186400,187800,184600,185900,184400,187300,184100,182600,182600,187900,192600,197100,201500,203000,201200,198200,199400,198600,200800,204500,206700,205200,200000,194400,192500,188000,185400,182500,180900,181700,181800,184600,185900,187000,188000,190500,190500,192400,194300,198800,199500,200600,200000,201400,200000,198500,196500,198000,198200,200000,201200,204900,210400,216500,223800,225100,220700,220200,220900,225500,224600,226000,230200,222600,225900,231500,248000,250900,243400,235400,228800,229900,229600,232400,233700,239700,243900,255600,267100
1090,Harris County,Texas,3,137000,135400,132400,132600,133000,134600,136000,135300,132700,127200,126100,125200,127700,128100,130000,132800,136900,139500,140500,138400,136700,134200,134400,134100,134500,134200,133600,133300,131100,131400,130500,132400,134100,137800,136400,135100,132200,130700,129500,129800,131700,133400,133900,134900,135200,135900,133800,130600,129800,133300,137700,140100,141000,140400,139300,136800,139000,140300,142500,140900,141900,146300,150900,154500,156500,158200,159700,159200,160100,160300,160800,162200,164000,166400,167700,167200,166700,167000,166800,168900,168100,169000,169500,169300,170800,171000,172500,173500,174100,176100,175200,174900,173600,175200,176800,177700,176100,175800,177500,180000,182700,182100,183900,184100,186300,186800,187100,187500,188200,188600,189000,190100,190800,191400,192400,194400,195800,194800,194600,195800,196900,198400,197700,197500,197200,197200,199100,200200,203000,205500,207300,208100,207600,207500,208700,209900,209400,209200,209200,212600,214600,218400,219400,221300,
2402,Maricopa County,Arizona,4,231000,221400,212300,207400,200700,195600,186700,179300,170900,160700,149900,137300,128700,121200,118200,120200,124400,128300,130700,131200,134600,133800,135000,133300,133700,132700,130600,129200,127900,125900,124300,122700,121700,117900,117600,116900,116800,113600,109900,109800,109700,111500,113000,114400,118300,119800,116500,112200,110300,115600,120200,123100,124600,126900,128000,132000,136300,140200,142300,142500,145200,147300,150100,152800,155500,156200,156700,157200,157000,158500,158200,159500,158700,159300,159400,158000,158900,159400,163400,163600,164600,166100,166500,169300,171000,174900,176900,178600,179100,179900,181700,183900,185700,187800,189000,190100,191500,193900,196400,197500,198000,200500,202400,205000,208100,208200,210000,209900,211900,211500,212200,212100,214100,216100,218400,220100,223600,225800,230600,232900,235900,235200,233900,235000,238400,240400,241400,242200,244200,244200,246700,248400,250900,249100,249500,251100,254600,255600,258100,260900,265800,269100,274700,281300,
2841,San Diego County,California,5,404200,396900,381900,370000,353500,341300,331300,321300,310100,301600,292600,289600,284000,284700,283200,290900,297800,308000,314500,317900,321300,325000,323400,326900,327200,334500,332300,330200,328400,327500,328900,329900,333000,334800,325500,320300,317300,321700,321300,318000,317100,315500,313400,312500,312900,314000,313200,312400,315800,321200,326600,327300,331700,335700,343700,349700,356800,363600,363100,364700,368200,381500,393400,400800,404900,407000,412200,412600,415200,416100,415900,416300,417700,423600,427200,429300,431500,434700,437000,440700,438600,436400,438000,443700,449700,449800,450900,454700,457700,459500,456900,456700,461600,466100,471500,470500,473100,476100,479800,479800,479300,481200,485200,493500,495700,499300,499000,504900,509000,511000,513400,517900,521200,524000,526600,531400,538900,542900,543100,545600,547800,556600,555900,557900,555200,557500,561100,562300,559900,556800,555300,558200,556700,560800,559700,563500,561600,564200,562200,568700,576500,581700,585500,588200,
1286,Orange County,California,6,509900,503100,485900,467300,451300,440400,430900,420500,405300,394800,382900,382200,382100,379300,383000,390200,403800,411200,418800,427000,432500,436400,440000,440700,438800,431600,428300,425200,430400,432000,436500,434900,434200,426200,422900,421800,428400,426400,420100,412200,412600,411800,414500,409100,408800,401700,402000,400700,403100,404400,408400,416900,427100,437200,442800,447900,453300,462200,470100,481900,492100,505700,512400,518200,520600,524600,526900,524800,528100,535200,543000,549000,548400,547800,547500,547900,547900,548800,551900,562600,566100,567400,562300,569500,574100,578200,573100,575900,580800,586300,588900,589000,593100,596900,605200,605600,606500,605900,608700,611700,610500,617900,616200,614100,601800,598100,593500,592300,594700,601600,609300,610700,611700,609100,616700,633400,657500,671700,679500,688700,700800,700000,693500,687800,692300,694100,698400,699600,700000,694500,695700,699700,705000,709500,704900,702600,700500,700600,703300,708200,717700,725600,739900,759000,
2964,Miami-Dade County,Florida,7,287700,277800,269900,257600,251900,244500,236000,224700,212100,204400,190500,180900,169700,161500,155300,151200,153900,157000,157500,156600,155100,156700,161400,164200,168900,167300,167000,160100,151500,142200,133900,136300,141200,141400,129100,121900,121700,131200,138700,143700,155400,154400,151200,143700,143100,149400,154000,157800,158100,160200,160300,164000,161800,162900,163300,163700,166400,173100,177800,183300,180900,183800,188200,192600,195400,199700,199700,196000,196200,197200,202200,193900,194400,197200,203600,205300,208200,208000,208900,208600,209100,212400,212400,213500,215000,215800,221500,222200,224100,221100,223000,222800,225300,223600,228100,229600,231800,230200,229400,231900,235700,239800,242300,246400,250100,251300,251900,251600,254100,257000,257100,257300,254200,259200,263000,266000,264600,264800,269000,272500,276400,274400,271100,268100,267200,270000,268900,273100,273400,277000,274500,276300,278500,281700,281600,283200,283300,288900,288100,290800,290100,292800,293400,297100,
978,Dallas County,Texas,8,125300,122800,122300,122500,125300,127200,127600,125000,122700,117200,114700,112900,115400,114500,116100,119100,123600,126400,127600,128400,129800,127500,126900,121800,122500,123500,125700,125600,124000,124500,125200,124300,125300,126500,128000,126700,121500,119100,119800,121700,123500,124800,127300,126700,125200,127700,127500,129100,130600,133100,135900,136500,142400,144500,145100,144200,142900,144700,142900,144300,148300,156500,163000,166300,169300,171100,171900,168400,168400,166200,166500,166300,167900,168500,166400,166400,168400,170600,171000,171300,172000,174100,175200,177900,181200,182200,183000,181500,182900,183700,182200,184300,184800,186300,185100,184800,187300,188900,193400,195200,195900,194600,197800,200700,203900,202300,206600,207900,210100,209600,211700,210800,210500,213900,217700,221000,219000,222000,223600,230800,230200,229600,225600,226500,225900,224600,225100,225400,228700,232500,235200,235200,231700,232000,230800,231300,230700,233800,239000,242400,245900,244600,250500,249500,
2832,Riverside County,California,9,314500,297700,283000,270900,258900,247300,235700,228900,219500,210100,200900,192500,184300,174600,169500,168700,169900,172200,173800,177200,181100,186400,190800,193200,192000,189500,190800,192600,193800,191900,191100,191000,189600,189100,189000,191000,190500,187900,185900,184800,183800,182100,182500,183900,185200,184200,184800,185500,187800,190400,191800,192100,193600,192300,196600,202100,211500,218400,222300,226500,230400,234000,238200,242700,251000,255100,258800,260100,265500,269200,273000,275200,276400,276200,277600,279100,280800,281800,281700,283200,283200,285500,285300,290700,290600,294200,292500,294500,295400,296800,298200,300000,301000,304400,306700,307200,309300,309900,312200,311800,312100,316300,319900,320800,318800,316900,318500,321300,324200,327200,327200,329500,332900,337000,338200,343600,347000,350800,356100,363900,366700,364900,364400,367700,368300,366200,369700,370800,376400,377200,382600,382900,381900,379000,378400,380000,380400,383200,386500,390400,391600,389400,389700,392600,
3250,San Bernardino County,California,10,270800,258100,243100,234200,222200,214400,204100,198200,188600,180300,169900,162100,153800,143900,136500,132600,132300,135400,139400,143400,146100,148100,150000,149900,149100,148300,148700,150300,151000,152700,154000,153700,153200,151300,152200,151600,150700,147900,145400,143700,144800,147100,149600,149000,149300,146900,147800,145600,146200,146800,149100,152600,155500,159500,162800,165800,171400,173900,176600,174300,176600,179000,185800,189900,192900,196700,204900,214200,214900,218100,217100,222000,219900,223200,225400,229300,230100,231300,230800,233800,236900,240600,240000,240800,243700,247400,245600,244500,246600,252400,255500,254200,256100,258000,261300,262300,263000,262200,263200,262300,266400,265900,273600,271600,273100,268900,267600,267300,268500,272700,275400,277400,278600,281000,285500,293600,299900,302300,304200,309700,311700,315000,312000,316300,316400,319300,318800,319500,316700,314300,315300,319500,323700,323900,324300,323800,323300,324700,330200,335200,335300,332900,336700,340200,
